query_id	tema	subtema	tipo_query	query_text	ipc_sugeridos	criterio_relevancia_alta	observacoes_negativos_dificeis	query_derivada_de
QF002	tratamentos_cancer_farmacos	conjugados_anticorpo_farmaco_adc	tecnica	conjugado anticorpo-fármaco com ligante clivável para terapia antitumoral	A61K 47; A61K 39; A61P 35; C07K	Patentes sobre ADCs com linker, carga citotóxica, anticorpo alvo e indicação oncológica claramente descritos	Formulações genéricas de anticorpos; conjugados para diagnóstico	
QA006	purificacao_agua	adsorcao_metais_pesados	natural	encontrar tecnologias que limpam água contaminada com metais tóxicos	C02F; B01D; B01J	Patentes focadas em descontaminação de água contendo metais pesados ou íons tóxicos	Tratamento biológico sem metais; mineração sem purificação de água	
QG001	comunicacao_5g	alocacao_recursos_radio	curta	alocação de recursos em rede 5G	H04W 72; H04L	Patentes sobre escalonamento, recursos uplink/downlink, grants, numerologia ou alocação dinâmica em sistemas 5G/LTE	Alocação computacional genérica sem rádio	
QF002E	tratamentos_cancer_farmacos	adc_alvo_her2	especifica	conjugado anticorpo-farmaco direcionado a HER2 para tratamento de tumor solido	A61K 47/68; A61P 35/00; C07K 16/32	Patentes que reivindicam ADC cujo anticorpo se liga a HER2 (ERBB2), com indicacao em tumor solido	ADCs com outros alvos (LIV1, CLDN18.2, fator tecidual, 191P4D12); anticorpos anti-HER2 sem conjugacao; inibidores de HER2 de pequena molecula	QF002
QA006E	purificacao_agua	metais_pesados_lixiviado	especifica	remocao de metais pesados de lixiviado de aterro sanitario	C02F 101/20; C02F 103/06; C02F 9/00	Patentes sobre tratamento de lixiviado ou chorume de aterro em que a remocao de metais pesados ou de contaminantes inorganicos seja parte declarada do processo	Tratamento de agua potavel ou de efluente industrial sem aterro; tratamento de lixiviado sem remocao de inorganicos; recuperacao metalurgica de metais a partir de minerio	QA006
QG001E	comunicacao_5g	concessao_configurada_uplink	especifica	concessao configurada de enlace ascendente e escalonamento semi-persistente em 5G NR	H04W 72/04; H04W 72/12; H04L 5/00	Patentes sobre configured grant de uplink, escalonamento semi-persistente (SPS), ativacao ou liberacao por DCI, ou alocacao periodica de recursos de enlace ascendente em NR/LTE	Alocacao dinamica por concessao convencional; selecao de recursos de sidelink; procedimentos de acesso aleatorio	QG001
QP001	perfuracao_pocos_petroleo	integridade_poco	tecnica	barreira de vedacao e reparo de revestimento em furo de poco de petroleo	E21B 33; E21B 29; E21B 43	Patentes sobre vedacao, tamponamento, reparo ou substituicao de revestimento e barreiras de integridade em pocos	Perfuracao sem vedacao; tratamento de superficie de dutos fora do poco; tuneis civis	
QP002	perfuracao_pocos_petroleo	integridade_poco	natural	como tapar a folga entre o tubo e a rocha para o poco de petroleo nao vazar	E21B 33; E21B 29; E21B 43	Patentes sobre vedacao, tamponamento, reparo ou substituicao de revestimento e barreiras de integridade em pocos	Perfuracao sem vedacao; tratamento de superficie de dutos fora do poco; tuneis civis	QP001
QD001	defensivos_agricolas	herbicidas_fungicidas	tecnica	composicao herbicida ou fungicida para controle de patogenos em cultura agricola	A01N 43; A01N 47; A01P 3; A01P 13	Patentes que reivindicam composicao ou composto com acao herbicida, fungicida ou inseticida aplicada a plantas	Biocidas para superficies e materiais; conservantes cosmeticos; fertilizantes sem acao biocida	
QD002	defensivos_agricolas	herbicidas_fungicidas	natural	produto para matar o mato e o fungo que atacam a plantacao	A01N 43; A01N 47; A01P 3; A01P 13	Patentes que reivindicam composicao ou composto com acao herbicida, fungicida ou inseticida aplicada a plantas	Biocidas para superficies e materiais; conservantes cosmeticos; fertilizantes sem acao biocida	QD001
QE001	embalagens	fechamento_vedacao	tecnica	tampa ou selo vedavel para recipiente com abertura perfuravel	B65D 41; B65D 51; B65D 77	Patentes sobre tampas, selos, valvulas ou juntas de vedacao de recipientes, incluindo mecanismos de abertura	Recipientes sem elemento de fechamento; frascos farmaceuticos focados no conteudo	
QE002	embalagens	fechamento_vedacao	natural	jeito de fechar um pote para nao vazar e conseguir abrir depois	B65D 41; B65D 51; B65D 77	Patentes sobre tampas, selos, valvulas ou juntas de vedacao de recipientes, incluindo mecanismos de abertura	Recipientes sem elemento de fechamento; frascos farmaceuticos focados no conteudo	QE001
