query_id	num_pedido_normalizado	relevance	origem_julgamento
QA006	BR102021015972	0	presumido
QA006	BR102017006907	2	julgado
QA006	BR112017027227	0	presumido
QA006	BR102017006908	2	julgado
QA006	BR102022009813	1	julgado
QA006	BR112023015733	0	presumido
QA006	BR112023020093	0	presumido
QA006	BR102023003710	0	presumido
QA006	BR112023019112	0	presumido
QA006	BR102022006685	0	julgado
QA006	BR102017007133	0	presumido
QA006	BR112018005833	0	presumido
QA006	BR112023008845	0	presumido
QA006	BR112023018206	0	julgado
QA006	BR112017008759	0	presumido
QA006	BR112016027534	0	presumido
QA006	BR112023005981	0	presumido
QA006	BR102015008336	0	presumido
QA006	BR102017014720	0	presumido
QA006	BR112018068264	0	presumido
QA006	BR112019025160	0	julgado
QA006	BR112023002087	0	presumido
QA006	BR112019019417	0	julgado
QA006	BR112013011240	0	julgado
QA006	BR112016007771	0	presumido
QA006	BR112017007271	0	presumido
QA006	BR112023002330	0	presumido
QA006	BR112019012882	0	julgado
QA006	BR112023000757	0	julgado
QA006	BR202021004757	0	presumido
QA006	BR112019015881	0	julgado
QA006	BR112022026205	0	presumido
QA006	BR112018004742	1	julgado
QA006	BR202021016819	1	julgado
QA006	BR112020010856	0	presumido
QA006	BR112023001445	0	presumido
QA006	BR112023001241	0	presumido
QA006	BR112015030282	1	julgado
QA006	BR102018013293	2	julgado
QA006	BR102021015593	0	presumido
QA006	BR112022026738	0	presumido
QA006	BR112022025105	0	presumido
QA006	BR112022025627	1	julgado
QA006	BR102017008470	0	julgado
QA006	BR102018009266	2	julgado
QA006	BR102017020557	0	presumido
QA006	BR112022025206	0	julgado
QA006	BR112022024930	0	presumido
QA006	BR112019001900	0	presumido
QA006	BR112022023987	0	presumido
QA006	BR112022023066	0	presumido
QA006	BR112022002391	0	presumido
QA006	BR112022021765	0	presumido
QA006	BR112022022477	0	presumido
QA006	BR112017010297	2	julgado
QA006	BR112022021190	0	presumido
QA006	BR112017002263	0	presumido
QA006	BR112015006983	0	presumido
QA006	BR112012020489	0	presumido
QA006	BR102021008211	0	julgado
QA006	BR112022018116	0	presumido
QA006	BR102021006986	0	presumido
QA006	BR112022017328	0	presumido
QA006	BR112017016833	1	julgado
QA006	BR112022016394	0	presumido
QA006	BR112015006716	0	presumido
QA006	BR112022013755	0	presumido
QA006	BR112022014006	0	presumido
QA006	BR102021006014	1	julgado
QA006	BR112022015851	0	presumido
QA006	BR122020017793	0	presumido
QA006	BR112022005351	0	julgado
QA006	BR112018076607	0	presumido
QA006	BR102021004721	2	julgado
QA006	BR112022014889	0	julgado
QA006	BR102016027731	0	julgado
QA006	BR112022014398	0	presumido
QA006	BR102022003618	0	julgado
QA006	BR112022010069	0	presumido
QA006	BR112022011302	0	presumido
QA006	BR112016013744	0	julgado
QA006	BR112022012013	0	presumido
QA006	BR112022010663	0	julgado
QA006	BR112022009672	0	presumido
QA006	BR112022009716	0	presumido
QA006	BR112022001045	0	presumido
QA006	BR112022007719	0	presumido
QA006	BR112022007976	0	presumido
QA006	BR112022006898	0	julgado
QA006	BR112015018520	0	presumido
QA006	BR112019014435	0	presumido
QA006	BR112022011295	0	presumido
QA006	BR112022026317	0	presumido
QA006	BR112018074135	0	presumido
QA006	BR102022010427	0	presumido
QA006	BR112017015378	0	presumido
QA006	BR112018076847	0	presumido
QA006	BR112022020018	0	presumido
QA006	BR202022008595	0	presumido
QA006	BR112022025162	0	presumido
QA006	BR112018068002	0	presumido
QA006	BR102017026638	0	presumido
QA006	BR112018006289	0	presumido
QA006	BR112020000143	0	presumido
QA006	BR112013002631	0	presumido
QA006	BR102017017288	0	presumido
QA006	BR102021012709	0	presumido
QA006	BR112022009465	0	presumido
QA006	BR112023000098	0	presumido
QA006	BR122020022205	0	presumido
QA006	BR112019001019	0	presumido
QA006	BR112016003873	0	presumido
QA006	BR112015015984	0	presumido
QA006	BR112020016531	0	presumido
QA006	BR112017028539	0	presumido
QA006	BR112016002571	0	presumido
QA006	BR112020006964	0	presumido
QA006	BR202017021263	0	presumido
QA006	BR112022019284	0	presumido
QA006	BR202018071916	0	presumido
QA006	BR112018075318	0	presumido
QA006	BR112019007571	0	presumido
QA006	BR112023001056	0	presumido
QA006	BR112015002605	0	presumido
QA006	BR112016024986	0	presumido
QA006	BR112017023201	0	presumido
QA006	BR112023021452	0	presumido
QA006	BR112023017667	0	presumido
QA006	BR102017010999	0	presumido
QA006	BR112023022437	0	presumido
QA006	BR122020015290	0	presumido
QA006	BR102021006452	0	presumido
QA006	BR112017017348	0	presumido
QA006	BR102013024013	0	presumido
QA006	BR112017016392	0	presumido
QA006	BR112020016424	0	presumido
QA006	BR112022017772	0	presumido
QA006	BR112022007353	0	presumido
QA006	BR112022014507	0	presumido
QA006	BR112018070814	0	presumido
QA006	BR102021018410	0	presumido
QA006	BR102017026766	0	presumido
QA006	BR112016023275	0	presumido
QA006	BR112023013287	0	presumido
QA006	BR112015007968	0	presumido
QA006	BR112023020821	0	presumido
QA006	BR122021014249	0	presumido
QA006	BR112019011002	0	presumido
QA006	BR202021002228	0	presumido
QA006	BR112022018476	0	presumido
QA006	BR0920002	0	presumido
QA006	BR112018000160	0	presumido
QA006	BR112022020434	0	presumido
QA006	BR122021005436	0	presumido
QA006	BR112013012245	0	presumido
QA006	BR112019026496	0	presumido
QA006	BR0619023	0	presumido
QA006	BR112022016044	0	presumido
QA006	BR112016021603	0	presumido
QA006	BR102021011533	0	presumido
QA006	BR112023020655	0	presumido
QA006	BR112023017011	0	presumido
QA006	BR112019020066	0	presumido
QA006	BR102012010953	0	presumido
QA006	BR102020026994	0	presumido
QA006	BR202021005289	0	presumido
QA006	BR112018006383	0	presumido
QA006	BR102018013279	0	presumido
QA006	BR102019006476	0	presumido
QA006	BR112019015805	0	presumido
QA006	BR112022023232	0	presumido
QA006	BR112019021969	0	presumido
QA006	BR112016020489	0	presumido
QA006	BR112013006783	0	presumido
QA006	BR102021021656	0	presumido
QA006	BR102020008284	0	presumido
QA006	BR112017022417	0	presumido
QA006	BR112023000626	0	presumido
QA006	BR102023004448	0	presumido
QA006	BR112019001187	0	presumido
QA006	BR112018008355	0	presumido
QA006	BR102016013953	0	presumido
QA006	BR112022016949	0	presumido
QA006	BR112022012388	0	presumido
QA006	BR202021018922	0	presumido
QA006	BR112015012213	0	presumido
QA006	BR102021017541	0	presumido
QA006	BR112022007193	0	presumido
QA006	BR112020001094	0	presumido
QA006	BR112018015519	0	presumido
QA006	BR112022020468	0	presumido
QA006	BR112017014632	0	presumido
QA006	BR112022013150	0	presumido
QA006	BR102022014806	0	presumido
QA006	BR112023016298	0	presumido
QA006	BR112021002565	0	presumido
QA006	BR112019011545	0	presumido
QA006	BR102022015347	0	presumido
QA006	BR112019018954	0	presumido
